央视频道,#genre#
CCTV-5体育,http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8
CCTV-5体育,http://39.134.168.91/PLTV/1/224/3221225556/index.m3u8
CCTV-5体育,http://121.31.30.87:8085/ysten-business/live/cctv-5/1.m3u8

CCTV-6电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8
CCTV-6电影,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV-6电影,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV-6电影,http://111.12.102.68:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV-6电影,http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8
CCTV-6电影,http://121.31.30.91:8085/ysten-business/live/cctv-6/1.m3u8
CCTV-6电影,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8

CCTV-7军事,http://111.12.102.68:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV-7军事,http://111.12.102.68:6610/PLTV/77777777/224/3221225700/index.m3u8?
CCTV-7军事,http://112.17.40.7:80/PLTV/88888888/224/3221226122/index.m3u8
CCTV-7军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8

CCTV-8电视,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV-8电视,http://111.12.102.68:6610/PLTV/77777777/224/3221225630/index.m3u8?
CCTV-8电视,http://39.134.168.91/PLTV/1/224/3221225562/index.m3u8
CCTV-8电视,http://121.31.30.91:8085/ysten-business/live/cctv-8/1.m3u8
CCTV-8电视,http://39.134.176.148/PLTV/88888888/224/3221226330/index.m3u8

CCTV-9纪录,http://111.12.102.68:6610/PLTV/77777777/224/3221225633/index.m3u8?
CCTV-9纪录,http://111.12.102.68:6610/PLTV/77777777/224/3221225663/index.m3u8?
CCTV-9纪录,http://112.17.40.8:80/PLTV/88888888/224/3221226156/index.m3u8
CCTV-9纪录,http://39.135.135.30/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-9纪录,http://112.17.40.140/PLTV/88888888/224/3221226156/index.m3u8
CCTV-9纪录,http://121.31.30.87:8085/ysten-business/live/cctv-news/1.m3u8

CCTV-10科教,http://111.12.102.68:6610/PLTV/77777777/224/3221225624/index.m3u8?
CCTV-10科教,http://111.12.102.68:6610/PLTV/77777777/224/3221225704/index.m3u8?
CCTV-10科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10科教,http://112.17.40.140/PLTV/88888888/224/3221226199/index.m3u8
CCTV-10科教,http://112.17.40.48:80/PLTV/88888888/224/3221226199/index.m3u8

CCTV-11戏曲,http://111.12.102.68:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV-11戏曲,http://111.12.102.68:6610/PLTV/77777777/224/3221225750/index.m3u8?
CCTV-11戏曲,http://39.135.250.71/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226057/00000001000000060000000000000497_mdn_1.smil?回看=http://92ltw.top/cjwx/PLTV/xxjxhk.php?id=5628.sm

CCTV-12社会,http://111.12.102.68:6610/PLTV/77777777/224/3221225645/index.m3u8?
CCTV-12社会,http://111.12.102.68:6610/PLTV/77777777/224/3221225670/index.m3u8?
CCTV-12社会,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV-12社会,http://112.17.40.8:80/PLTV/88888888/224/3221226167/index.m3u8

CCTV-13新闻,http://111.12.102.68:6610/PLTV/77777777/224/3221225742/index.m3u8?
CCTV-13新闻,http://39.135.135.58/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225599/index.m3u8

CCTV-14少儿,http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8
CCTV-14少儿,http://111.12.102.68:6610/PLTV/77777777/224/3221225648/index.m3u8?
CCTV-14少儿,http://111.12.102.68:6610/PLTV/77777777/224/3221225673/index.m3u8?
CCTV-14少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8

CCTV-15音乐,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV-15音乐,http://111.12.102.68:6610/PLTV/77777777/224/3221225693/index.m3u8?
CCTV-15音乐,http://111.12.102.68:6610/PLTV/77777777/224/3221225830/index.m3u8?

CCTV-5+体育,http://111.12.102.68:6610/PLTV/77777777/224/3221225621/index.m3u8?
CCTV-5+体育,http://111.12.102.68:6610/PLTV/77777777/224/3221225712/index.m3u8?
CCTV-5+体育,http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8

CCTV-17农业,http://111.12.102.68:6610/PLTV/77777777/224/3221225513/index.m3u8?
CCTV-17农业,http://111.12.102.68:6610/PLTV/77777777/224/3221225833/index.m3u8?
CCTV-17农业,http://111.12.102.68:6610/PLTV/77777777/224/3221225766/index.m3u8?
CCTV-17农业,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8
CCTV-17农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

卫视频道,#genre#
内蒙卫视高清,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8
